Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict,Movie Type,Released Date
JugJugg Jeeyo,74.5,50.24,54.5,20,100,None,Bollywood,24-Jun-22
Virata Parvam,4.2,5.12,2.9,1.3,1,None,Tollywood,17-Jun-22
Naadi Dosh,8.15,7.87,8.15,0,1,None,Gollywood,17-Jun-22
Veetla Vishesham,9.6,7.4,8.6,1,1,None,Kollywood,17-Jun-22
Nikamma,0.8,2.19,0.6,0.2,1,None,Bollywood,17-Jun-22
Jurassic World: Dominion,4000,62.81,56.6,2700,1,None,Hollywood,10-Jun-22
Ante Sundaraniki,31.5,21.23,23.37,8.13,1,None,Tollywood,10-Jun-22
Janhit Mein Jaari,5.5,3.75,4.4,1.1,1,None,Bollywood,10-Jun-22
777 Charlie,90.6,75.76,85,5.6,15,None,Sandalwood,10-Jun-22
Vikram,395,236.11,273.6,121.4,120,All Time Blockbuster,Kollywood,03-Jun-22
Major,58.2,41.03,45.2,13,30,SuperHit,Bollywood,03-Jun-22
Samrat Prithviraj,85,66,77,8,220,Disaster,Bollywood,03-Jun-22
F3: Fun and Frustration,90,67.34,75.1,14.9,70,Average,Tollywood,27-May-22
Anek,9,9.05,7.3,1.7,1,Disaster,Bollywood,27-May-22
Top Gun: Maverick,1500,18.03,10.2,800,1,Average,Hollywood,27-May-22
Sarsenapati Hambirrao,17.65,15.09,17.65,0,10,Hit,Marathi Film,27-May-22
Nenjuku Needhi,12,10.61,11.1,0.9,1,Hit,Kollywood,20-May-22
Belashuru,3.05,4.38,3.05,0,1,None,Bengali Tollywood,20-May-22
Bhool Bhulaiyaa 2,265.5,184.32,216.5,49,80,Blockbuster,Bollywood,20-May-22
Jayeshbhai Jordaar,17.5,17.91,14.05,3.45,1,Disaster,Bollywood,13-May-22
Don,114,77.86,90.65,23.35,1,Blockbuster,Kollywood,13-May-22
Saunkan Saunkne,56.9,30.71,35.9,21,1,Blockbuster,Pollywood,13-May-22
Dharmaveer,26.5,23.72,26.5,0,1,Blockbuster,Marathi Film,13-May-22
Sarkaru Vaari Paata,187.4,137.71,158.4,29,100,Average,Tollywood,12-May-22
Doctor Strange In The Multiverse Of Madness,5400,122.07,147,3100,1500,Average,Hollywood,06-May-22
Ashoka Vanamlo Arjuna Kalyanam,3.6,7.65,3.6,0,1,Average,Tollywood,06-May-22
Avatara Purusha,3.75,3.22,3.75,0,1,None,Sandalwood,06-May-22
Kehvatlal Parivar,19.5,16.77,19.5,0,5,Blockbuster,Gollywood,06-May-22
CBI 5: The Brain,4.4,12.29,4.4,0,15,Flop,Bollywood,01-May-22
Runway 34,50.7,35.49,41.7,9,60,Flop,Bollywood,29-Apr-22
Heropanti 2,28,21.5,25.3,2.7,80,Disaster,Bollywood,29-Apr-22
Acharya,73.5,56.14,62.25,11.25,140,Disaster,Tollywood,29-Apr-22
Kaathuvaakula Rendu Kaadhal,52.5,41.79,42.5,10,35,SuperHit,Kollywood,28-Apr-22
Jana Gana Mana,48.8,25.63,30.1,18.7,20,Blockbuster,Mollywood,28-Apr-22
Sher Shivraj,7.6,6.68,7.6,0,10,Average,Marathi Film,22-Apr-22
Main Te Bapu,0.7,0.6,0.7,0,1,Disaster,Pollywood,22-Apr-22
Jersey,26,20.54,22.5,3.5,60,Disaster,Bollywood,22-Apr-22
KGF Chapter 2,1207,859.55,1000.65,206.35,100,All Time Blockbuster,Sandalwood,14-Apr-22
Beast,216.58,130.25,151.58,65,150,Plus,Kollywood,13-Apr-22
Ghani,7.7,7.16,7,0.7,1,Disaster,Tollywood,08-Apr-22
Lekh,3,5.32,1.6,1.4,1,None,Bollywood,01-Apr-22
Home Minister,1.05,1.17,1.05,0,1,None,Sandalwood,01-Apr-22
Manmatha Leelai,3,3.05,2.8,0.2,1,None,Kollywood,01-Apr-22
Attack - Part 1,22,17.35,18.8,3.2,55,Flop,Bollywood,01-Apr-22
RRR,1111.7,772.1,903.68,208.02,550,Blockbuster,Tollywood,25-Mar-22
Bachchhan Paandey,70,50.54,59.7,10.3,165,Disaster,Bollywood,18-Mar-22
Stand Up Rahul,0.35,0.3,0.35,0,1,None,Tollywood,18-Mar-22
James,94.2,76.25,89.2,5,55,SuperHit,Sandalwood,17-Mar-22
The Kashmir Files,341,252.25,295,46,20,All Time Blockbuster,Bollywood,11-Mar-22
Radhe Shyam,144,103.59,117.9,26.1,350,Disaster,Indian,11-Mar-22
Etharkkum Thunindhavan,71.4,49.1,57.4,14,60,Flop,Kollywood,10-Mar-22
Aadavallu Meeku Johaarlu,6.2,9.57,5.2,1,1,Flop,Tollywood,04-Mar-22
Dear Father,0.65,1.01,0.65,0,1,Disaster,Gollywood,04-Mar-22
The Batman,1900,36.52,28.4,900,1,Average,Hollywood,04-Mar-22
Jhund,23,14.7,17.3,5.7,1,Average,Bollywood,04-Mar-22
Hey Sinamika,3.75,4.13,3.75,0,1,None,Kollywood,03-Mar-22
Bheeshma Parvam,83,42.38,49.4,33.6,15,Blockbuster,Mollywood,03-Mar-22
Bheemla Nayak,158.5,112.62,130.5,28,80,Average,Tollywood,25-Feb-22
Aaja Mexico Challiye,2.92,3.91,2.92,0,1,None,Pollywood,25-Feb-22
Member Rameshan 9aam Ward,0.49,0.48,0.49,0,1,None,Mollywood,25-Feb-22
Upacharapoorvam Gunda Jayan,0.63,0.55,0.63,0,1,Disaster,Mollywood,25-Feb-22
Gangubai Kathiawadi,211.5,132.01,155.5,56,180,Hit,Bollywood,25-Feb-22
Valimai,164.5,106.1,123.5,41,150,Average,Kollywood,24-Feb-22
Ek Love Ya,3.4,3.59,3.4,0,1,None,Sandalwood,24-Feb-22
Aaraattu,20.15,11.24,13.15,7,25,Flop,Mollywood,18-Feb-22
Son of India,0.17,0.14,0.17,0,1,None,Tollywood,18-Feb-22
Uncharted,1100,8.42,10.8,670,900,Flop,Hollywood,18-Feb-22
By Two Love,0.17,0.54,0.17,0,1,None,Sandalwood,18-Feb-22
Pawankhind,39.65,34.02,39.65,0,10,Blockbuster,Marathi Film,18-Feb-22
DJ Tillu,21,22.53,17.8,3.2,1,Blockbuster,Tollywood,12-Feb-22
Khiladi,23.5,21.53,21.7,1.8,40,Flop,Tollywood,11-Feb-22
Badhaai Do,23,19.81,20,3,30,Disaster,Bollywood,11-Feb-22
Kallan D`Souza,0.17,0.15,0.17,0,1,Disaster,Mollywood,11-Feb-22
FIR,10.5,8.84,9,1.5,10,Average,Kollywood,11-Feb-22
Love Mocktail 2,16.05,13.78,16.05,0,1,Average,Sandalwood,11-Feb-22
Archana 31 Not Out,0.1,0.19,0.1,0,1,Disaster,Mollywood,11-Feb-22
Veerame Vaagai Soodum,8.5,12.98,7.95,0.55,1,Flop,Kollywood,04-Feb-22
